
*******************************************************************
==>> Run on: 2021-07-01 01:38:14
==>> Seed was set to: 1


 Arguments:
	 seed                 : 1
	 log                  : None
	 experiment           : simclr
	 dataset              : cifar10
	 valid_split          : 0.0
	 arch                 : VGG6
	 parallel             : False
	 checkpoint           : None
	 inference_only       : False
	 batch_size           : 512
	 num_epochs           : 500
	 optimizer            : adam
	 init_lr              : 0.001
	 weight_decay         : 1e-06
	 momentum             : 0.9
	 lr_schedule          : [500]
	 lr_gamma             : 0.1
	 version              : default
	 projection           : 512
	 temperature          : 0.5
==>> Total training batches: 98
==>> Total validation batches: 20
==>> Total testing batches: 20
customizable_VGG(
  (features): Sequential(
    (0): Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU(inplace=True)
    (2): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (4): ReLU(inplace=True)
    (5): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    (6): Conv2d(128, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (7): ReLU(inplace=True)
    (8): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (projection): Sequential(
    (0): Linear(in_features=2048, out_features=512, bias=False)
    (1): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU(inplace=True)
    (3): Linear(in_features=512, out_features=512, bias=True)
  )
)
==>> Starting training from scratch!
==>> Optimizer settings: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    initial_lr: 0.001
    lr: 0.001
    weight_decay: 1e-06
)
==>> LR scheduler type: <class 'torch.optim.lr_scheduler.MultiStepLR'>
==>> LR scheduler state: {'milestones': Counter({500: 1}), 'gamma': 0.1, 'base_lrs': [0.001], 'last_epoch': 0, '_step_count': 1, '_get_lr_called_within_step': False, '_last_lr': [0.001]}
==>> Number of training epochs: 500
==>>> TRAIN-PRUNE | train epoch: 0, loss: 6.120381, similarity: 0.5756
==>>> CLEAN VALIDATE | epoch: 0, batch index: 20, val loss: 5.585672, val sim: 0.4328
==>>> TRAIN-PRUNE | train epoch: 1, loss: 5.931395, similarity: 0.6354
==>>> CLEAN VALIDATE | epoch: 1, batch index: 20, val loss: 5.429160, val sim: 0.4579
==>>> TRAIN-PRUNE | train epoch: 2, loss: 5.860802, similarity: 0.6648
==>>> CLEAN VALIDATE | epoch: 2, batch index: 20, val loss: 5.390166, val sim: 0.4700
==>>> TRAIN-PRUNE | train epoch: 3, loss: 5.808542, similarity: 0.6840
==>>> CLEAN VALIDATE | epoch: 3, batch index: 20, val loss: 5.329570, val sim: 0.4825
==>>> TRAIN-PRUNE | train epoch: 4, loss: 5.777453, similarity: 0.6936
==>>> CLEAN VALIDATE | epoch: 4, batch index: 20, val loss: 5.368677, val sim: 0.4799
==>>> TRAIN-PRUNE | train epoch: 5, loss: 5.746720, similarity: 0.7070
==>>> CLEAN VALIDATE | epoch: 5, batch index: 20, val loss: 5.304111, val sim: 0.5022
==>>> TRAIN-PRUNE | train epoch: 6, loss: 5.735513, similarity: 0.7101
==>>> CLEAN VALIDATE | epoch: 6, batch index: 20, val loss: 5.328794, val sim: 0.4954
==>>> TRAIN-PRUNE | train epoch: 7, loss: 5.717208, similarity: 0.7185
==>>> CLEAN VALIDATE | epoch: 7, batch index: 20, val loss: 5.277142, val sim: 0.5079
==>>> TRAIN-PRUNE | train epoch: 8, loss: 5.706016, similarity: 0.7227
==>>> CLEAN VALIDATE | epoch: 8, batch index: 20, val loss: 5.264418, val sim: 0.5056
==>>> TRAIN-PRUNE | train epoch: 9, loss: 5.699843, similarity: 0.7250
==>>> CLEAN VALIDATE | epoch: 9, batch index: 20, val loss: 5.265566, val sim: 0.5042
==>>> TRAIN-PRUNE | train epoch: 10, loss: 5.688376, similarity: 0.7300
==>>> CLEAN VALIDATE | epoch: 10, batch index: 20, val loss: 5.226508, val sim: 0.5137
==>>> TRAIN-PRUNE | train epoch: 11, loss: 5.679666, similarity: 0.7328
==>>> CLEAN VALIDATE | epoch: 11, batch index: 20, val loss: 5.230789, val sim: 0.5042
==>>> TRAIN-PRUNE | train epoch: 12, loss: 5.667968, similarity: 0.7376
==>>> CLEAN VALIDATE | epoch: 12, batch index: 20, val loss: 5.235037, val sim: 0.5075
==>>> TRAIN-PRUNE | train epoch: 13, loss: 5.665152, similarity: 0.7391
==>>> CLEAN VALIDATE | epoch: 13, batch index: 20, val loss: 5.255404, val sim: 0.5024
==>>> TRAIN-PRUNE | train epoch: 14, loss: 5.655342, similarity: 0.7421
==>>> CLEAN VALIDATE | epoch: 14, batch index: 20, val loss: 5.232507, val sim: 0.5085
==>>> TRAIN-PRUNE | train epoch: 15, loss: 5.652344, similarity: 0.7433
==>>> CLEAN VALIDATE | epoch: 15, batch index: 20, val loss: 5.214614, val sim: 0.5123
==>>> TRAIN-PRUNE | train epoch: 16, loss: 5.648357, similarity: 0.7443
==>>> CLEAN VALIDATE | epoch: 16, batch index: 20, val loss: 5.212137, val sim: 0.5158
==>>> TRAIN-PRUNE | train epoch: 17, loss: 5.644153, similarity: 0.7455
==>>> CLEAN VALIDATE | epoch: 17, batch index: 20, val loss: 5.165436, val sim: 0.5251
==>>> TRAIN-PRUNE | train epoch: 18, loss: 5.637603, similarity: 0.7479
==>>> CLEAN VALIDATE | epoch: 18, batch index: 20, val loss: 5.241649, val sim: 0.5201
==>>> TRAIN-PRUNE | train epoch: 19, loss: 5.635812, similarity: 0.7481
==>>> CLEAN VALIDATE | epoch: 19, batch index: 20, val loss: 5.211672, val sim: 0.5080
==>>> TRAIN-PRUNE | train epoch: 20, loss: 5.628277, similarity: 0.7504
==>>> CLEAN VALIDATE | epoch: 20, batch index: 20, val loss: 5.186482, val sim: 0.5205
==>>> TRAIN-PRUNE | train epoch: 21, loss: 5.624382, similarity: 0.7516
==>>> CLEAN VALIDATE | epoch: 21, batch index: 20, val loss: 5.205592, val sim: 0.5127
==>>> TRAIN-PRUNE | train epoch: 22, loss: 5.624743, similarity: 0.7503
==>>> CLEAN VALIDATE | epoch: 22, batch index: 20, val loss: 5.157673, val sim: 0.5295
==>>> TRAIN-PRUNE | train epoch: 23, loss: 5.617275, similarity: 0.7535
==>>> CLEAN VALIDATE | epoch: 23, batch index: 20, val loss: 5.191175, val sim: 0.5134
==>>> TRAIN-PRUNE | train epoch: 24, loss: 5.612698, similarity: 0.7556
==>>> CLEAN VALIDATE | epoch: 24, batch index: 20, val loss: 5.178895, val sim: 0.5208
==>>> TRAIN-PRUNE | train epoch: 25, loss: 5.613347, similarity: 0.7543
==>>> CLEAN VALIDATE | epoch: 25, batch index: 20, val loss: 5.156555, val sim: 0.5242
==>>> TRAIN-PRUNE | train epoch: 26, loss: 5.604082, similarity: 0.7585
==>>> CLEAN VALIDATE | epoch: 26, batch index: 20, val loss: 5.166791, val sim: 0.5283
==>>> TRAIN-PRUNE | train epoch: 27, loss: 5.604756, similarity: 0.7576
==>>> CLEAN VALIDATE | epoch: 27, batch index: 20, val loss: 5.162223, val sim: 0.5213
==>>> TRAIN-PRUNE | train epoch: 28, loss: 5.604201, similarity: 0.7577
==>>> CLEAN VALIDATE | epoch: 28, batch index: 20, val loss: 5.197961, val sim: 0.5198
==>>> TRAIN-PRUNE | train epoch: 29, loss: 5.604422, similarity: 0.7575
==>>> CLEAN VALIDATE | epoch: 29, batch index: 20, val loss: 5.165701, val sim: 0.5226
==>>> TRAIN-PRUNE | train epoch: 30, loss: 5.599608, similarity: 0.7595
==>>> CLEAN VALIDATE | epoch: 30, batch index: 20, val loss: 5.175375, val sim: 0.5213
