
*******************************************************************
==>> Run on: 2021-07-01 16:08:33
==>> Seed was set to: 1


 Arguments:
	 seed                 : 1
	 log                  : None
	 experiment           : simclr
	 dataset              : cifar10
	 valid_split          : 0.0
	 arch                 : VGG6
	 parallel             : False
	 checkpoint           : ./results/cifar10/simclr/ckp_model_default_proj_dim512_temp0.5.pth
	 inference_only       : False
	 batch_size           : 128
	 num_epochs           : 100
	 optimizer            : adam
	 init_lr              : 0.001
	 weight_decay         : 1e-06
	 momentum             : 0.9
	 lr_schedule          : [100]
	 lr_gamma             : 0.1
	 version              : default_proj_dim512_temp0.5_with_linear_classifier
==>> Total training batches: 391
==>> Total validation batches: 79
==>> Total testing batches: 79
customizable_VGG(
  (features): Sequential(
    (0): Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU(inplace=True)
    (2): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (4): ReLU(inplace=True)
    (5): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    (6): Conv2d(128, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (7): ReLU(inplace=True)
    (8): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (classifier): Sequential(
    (0): Linear(in_features=2048, out_features=10, bias=True)
  )
)
==>> Feature extractor is loaded from checkpoint: ./results/cifar10/simclr/ckp_model_default_proj_dim512_temp0.5.pth
==>> Warning: _IncompatibleKeys(missing_keys=['classifier.0.weight', 'classifier.0.bias'], unexpected_keys=[])
==>> Optimizer settings: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    initial_lr: 0.001
    lr: 0.001
    weight_decay: 1e-06
)
==>> LR scheduler type: <class 'torch.optim.lr_scheduler.MultiStepLR'>
==>> LR scheduler state: {'milestones': Counter({100: 1}), 'gamma': 0.1, 'base_lrs': [0.001], 'last_epoch': 0, '_step_count': 1, '_get_lr_called_within_step': False, '_last_lr': [0.001]}
==>> Number of training epochs: 100
==>>> TRAIN-PRUNE | train epoch: 0, loss: 1.150961, acc: 0.6501
==>>> CLEAN VALIDATE | epoch: 0, batch index: 79, val loss: 0.844909, val acc: 0.7405
==>>> TRAIN-PRUNE | train epoch: 1, loss: 1.008040, acc: 0.6979
==>>> CLEAN VALIDATE | epoch: 1, batch index: 79, val loss: 0.929978, val acc: 0.7329
==>>> TRAIN-PRUNE | train epoch: 2, loss: 0.993166, acc: 0.7079
==>>> CLEAN VALIDATE | epoch: 2, batch index: 79, val loss: 0.926866, val acc: 0.7484
==>>> TRAIN-PRUNE | train epoch: 3, loss: 1.019282, acc: 0.7103
==>>> CLEAN VALIDATE | epoch: 3, batch index: 79, val loss: 0.858629, val acc: 0.7512
==>>> TRAIN-PRUNE | train epoch: 4, loss: 0.997993, acc: 0.7102
==>>> CLEAN VALIDATE | epoch: 4, batch index: 79, val loss: 0.885709, val acc: 0.7537
==>>> TRAIN-PRUNE | train epoch: 5, loss: 1.023510, acc: 0.7095
==>>> CLEAN VALIDATE | epoch: 5, batch index: 79, val loss: 0.930769, val acc: 0.7432
==>>> TRAIN-PRUNE | train epoch: 6, loss: 1.019838, acc: 0.7117
==>>> CLEAN VALIDATE | epoch: 6, batch index: 79, val loss: 1.012034, val acc: 0.7420
==>>> TRAIN-PRUNE | train epoch: 7, loss: 1.043752, acc: 0.7106
==>>> CLEAN VALIDATE | epoch: 7, batch index: 79, val loss: 0.905957, val acc: 0.7545
==>>> TRAIN-PRUNE | train epoch: 8, loss: 1.038699, acc: 0.7137
==>>> CLEAN VALIDATE | epoch: 8, batch index: 79, val loss: 0.930729, val acc: 0.7593
==>>> TRAIN-PRUNE | train epoch: 9, loss: 1.038857, acc: 0.7134
==>>> CLEAN VALIDATE | epoch: 9, batch index: 79, val loss: 0.963445, val acc: 0.7459
==>>> TRAIN-PRUNE | train epoch: 10, loss: 1.047369, acc: 0.7117
==>>> CLEAN VALIDATE | epoch: 10, batch index: 79, val loss: 1.020429, val acc: 0.7468
==>>> TRAIN-PRUNE | train epoch: 11, loss: 1.025181, acc: 0.7167
==>>> CLEAN VALIDATE | epoch: 11, batch index: 79, val loss: 0.954012, val acc: 0.7468
==>>> TRAIN-PRUNE | train epoch: 12, loss: 1.052906, acc: 0.7124
